id	claim	status	current_evidence	required_work	intended_location
C01	NWKIT 0.27.0 exposes 30 functional subcommands	verified	The version-locked inventory script reports 30 commands plus the help pseudo-command; README lists the same 30 commands	Retain the inventory script and raw JSON result in the archived analysis package	Methods and Figure 1
C02	NWKIT commands are composable in shell workflows	verified	All 30 functional commands read standard input by default and 28 write standard output by default; a sanitize|rename|rescale stream smoke test passed without intermediate files	Retain the process-level smoke test in the archived analysis package	Introduction and Results
C03	Stochastic NWKIT workflows can be reproduced with a user-specified random seed	partial	asr stochastic mapping, shuffle, and skim expose seed controls; seeded shuffle produced byte-identical output in separate processes and unit tests cover seeded ASR/skim behavior	Add cross-platform reproducibility checks and document numerical tolerances for stochastic mapping summaries	Methods and Results
C04	NWKIT 0.27.0 has a substantial automated test suite	verified	597 pytest tests passed locally on 2026-07-16; Ruff checks and source/wheel builds also passed	Record commit, environment, and test-category counts in a reproducible report	Methods
C05	NWKIT can detect specified Newick structural and format problems	verified	The validate command reported the declared condition for all 11 predefined problem cases and no issue for the valid control	Retain the raw 12-case corpus and distinguish reporting from repair or general validation	Results and Figure 3
C06	NWKIT supports Python 3.10 through 3.14	verified	pyproject metadata and GitHub Actions test matrix declare Python 3.10 through 3.14	Capture successful CI run for the manuscript release and archive it	Methods
C07	Version 0.27.0 represents a major functional expansion over 0.21.1	verified	Git history records addition of validation, conversion, consensus, clade frequency, sampling, drawing, image retrieval, and Mk ancestral-state reconstruction in 2026	Generate a version-by-feature chronology and decide which additions are central	Introduction and Discussion
C08	NWKIT has been used in peer-reviewed biological studies	partial	Explicit uses were found in Nature Ecology and Evolution, New Phytologist, G3, Scientific Reports, and other papers	Complete a reproducible literature search; verify versions, commands, and bibliographic metadata	Introduction and worked examples
C09	NWKIT is faster or more memory efficient than comparable tools	not-supported	Gotree was substantially faster and used less peak memory in the tested majority-consensus CLI runs; NWKIT and PhyKIT crossed in wall time as collection size increased	Do not make a general performance-advantage claim; retain timings only as operating-range evidence	Results and Discussion
C10	NWKIT provides broader relevant command coverage than comparable CLI toolkits	not-supported	The audited task matrix identified a distinct combination but PhyKIT has many comparative and phylogenomic capabilities outside the selected rows	Claim a specific combination and interface, not broader or comprehensive coverage	Table 1 and Discussion
C11	Selected NWKIT outputs agree with independent calculations	verified	All 50 rooted RF pairs, 20 clade-frequency collections, 20 majority-consensus collections, and 100 Mk enumeration checks agreed; maximum Mk error was 2.22e-16	Keep the claim scoped to the predefined operations, fixtures, and semantics	Results and Figure 3
C12	NWKIT is freely available and open source	verified	MIT-licensed source is public on GitHub and releases are packaged; a Bioconda recipe exists	Archive the manuscript release in Zenodo and ensure Bioconda points to the current version before submission	Methods and Data Availability
C13	NWKIT will be supported for at least two years after publication	author-confirmation	Required by the target journal	Obtain explicit author confirmation before submission	Cover letter or software availability statement
C14	NWKIT can express the PEPC example without intermediate custom tree-editing scripts	verified	A versioned workflow connected validate, monophyly, asr, sample, and draw on checksum-verified public inputs	Do not generalize this example into a measured reduction of ad hoc scripting across users	Abstract and Discussion
